"datetime","V1"
2018-02-14,1.6
2018-02-15,1.6125
2018-02-16,1.63020833333333
2018-02-17,1.69157894736842
2018-02-18,1.70104166666667
2018-02-19,1.77604166666667
2018-02-20,1.80957446808511
2018-02-21,1.87578947368421
2018-02-22,1.91041666666667
2018-02-23,1.98541666666667
2018-02-24,2.03125
2018-02-25,2.09895833333333
2018-02-26,2.20104166666667
2018-02-27,2.26
2018-02-28,2.24782608695652
2018-03-01,2.38275862068966
2018-03-02,2.4
2018-03-03,2.41458333333333
2018-03-04,2.47659574468085
2018-03-05,2.50729166666667
2018-03-06,2.53854166666667
2018-03-07,2.60105263157895
2018-03-08,2.6304347826087
2018-03-09,2.784375
2018-03-10,2.80105263157895
2018-03-11,2.80520833333333
2018-03-12,2.81612903225806
2018-03-13,2.89893617021277
2018-03-14,2.98854166666667
2018-03-15,3.01875
2018-03-16,3.05157894736842
2018-03-17,3.06842105263158
2018-03-18,3.03958333333333
2018-03-19,3.11145833333333
2018-03-20,3.20744680851064
2018-03-21,3.20736842105263
2018-03-22,3.29052631578947
2018-03-23,3.40625
2018-03-24,3.43541666666667
2018-03-25,3.42903225806452
2018-03-26,3.47789473684211
2018-03-27,3.47659574468085
2018-03-28,3.50851063829787
2018-03-29,3.52765957446808
2018-03-30,3.565625
2018-03-31,3.61458333333333
2018-04-01,3.6625
2018-04-02,3.7
2018-04-03,3.73125
2018-04-04,3.78297872340426
2018-04-05,3.84479166666667
2018-04-06,3.90416666666667
2018-04-07,3.95104166666667
2018-04-08,4.02291666666667
2018-04-09,4.11789473684211
2018-04-10,4.26875
2018-04-11,4.34891304347826
2018-04-12,4.29375
2018-04-13,4.33684210526316
2018-04-14,4.40105263157895
2018-04-15,4.46947368421053
2018-04-16,4.59450549450549
2018-04-17,4.66274509803922
2018-04-18,4.70793650793651
2018-04-19,4.78404255319149
2018-04-20,4.84421052631579
2018-04-21,4.88947368421053
2018-04-22,4.96486486486486
2018-05-11,6.30769230769231
2018-05-12,6.35416666666667
2018-05-13,6.37789473684211
2018-05-14,6.39270833333333
2018-05-15,6.46458333333333
2018-05-16,6.49895833333333
2018-05-17,6.58210526315789
2018-05-18,6.61458333333333
2018-05-19,6.67765957446808
2018-05-20,6.73684210526316
2018-05-21,6.70752688172043
2018-05-22,6.73157894736842
2018-05-23,6.7875
2018-05-24,6.86808510638298
2018-05-25,6.953125
2018-05-26,7.00104166666667
2018-05-27,7.06145833333333
2018-05-28,7.10224719101124
2018-05-29,7.23846153846154
2018-05-30,7.26354166666667
2018-05-31,7.17263157894737
2018-06-01,7.22210526315789
2018-06-02,7.290625
2018-06-03,7.43645833333333
2018-06-04,7.67916666666667
2018-06-05,7.84574468085106
2018-06-06,7.74479166666667
2018-06-07,7.62826086956522
2018-06-08,7.60625
2018-06-09,7.69894736842105
2018-06-10,7.86458333333333
2018-06-11,7.96063829787234
2018-06-12,7.91666666666667
2018-06-13,7.83958333333333
2018-06-14,7.95333333333333
2018-06-15,8.15157894736842
2018-06-16,8.25098039215686
2018-06-18,8.21785714285714
2018-06-19,8.47604166666667
2018-06-20,8.60860215053763
2018-06-21,8.60729166666667
2018-06-22,8.71157894736842
2018-06-23,8.65684210526316
2018-06-24,8.61666666666667
2018-06-25,8.68072289156626
2018-06-26,8.76421052631579
2018-06-27,8.67234042553191
2018-06-28,8.80769230769231
2018-06-29,8.90869565217391
2018-07-08,0.181052631578947
2018-07-09,0.2
2018-07-10,0.421052631578947
2018-07-11,0.0294117647058824
2018-07-12,0.05625
2018-07-13,0.4
2018-07-14,0.75
2018-07-15,0.8
2018-07-21,0
2018-07-23,0.7
2018-07-31,0.15
2018-08-02,17.6
2018-11-20,1.86666666666667
2018-11-21,1.86470588235294
2018-11-22,2.1875
2018-11-23,2.38333333333333
2018-11-24,2.5
2018-11-25,2.6
2018-11-26,2.7
2018-11-27,2.76666666666667
2018-11-28,2.8
2018-11-29,2.95
2018-12-01,2.96666666666667
2018-12-02,3.1
2018-12-03,3.1
2018-12-04,3.15
2018-12-05,3.2
2019-01-08,0.55
2019-01-09,0.380434782608696
2019-01-10,0.475531914893617
2019-01-11,0.507608695652174
2019-01-12,0.517708333333333
2019-01-13,0.541489361702128
2019-01-14,0.556382978723404
2019-01-15,0.591397849462366
2019-01-16,0.646315789473684
2019-01-17,0.681914893617021
2019-01-18,0.689473684210526
2019-01-19,0.690526315789474
2019-01-20,0.721276595744681
2019-01-21,0.792553191489362
2019-01-22,0.804301075268817
2019-01-23,0.805376344086022
2019-01-24,0.795833333333333
2019-01-25,0.804210526315789
2019-01-26,0.851063829787234
2019-01-27,0.897826086956522
2019-01-28,0.951111111111111
2019-01-29,0.969148936170213
2019-01-30,0.99375
2019-01-31,1.04545454545455
2019-02-01,1.1
2019-02-02,1.09473684210526
2019-02-03,1.19375
2019-02-04,1.253125
2019-02-05,1.19583333333333
2019-02-06,1.15894736842105
2019-02-07,1.08085106382979
2019-02-08,0.958947368421053
2019-02-09,0.91505376344086
2019-02-10,0.931578947368421
2019-02-11,0.916455696202532
2019-02-12,1.0890243902439
2019-02-13,2.49772727272727
2019-02-14,2.52446808510638
2019-02-15,2.52
2019-02-16,2.51894736842105
2019-02-17,2.48105263157895
2019-02-18,2.42526315789474
2019-02-19,2.41875
2019-02-20,2.471875
2019-02-21,1.88571428571429
2019-02-22,1.87234042553191
2019-02-23,1.84787234042553
2019-02-24,1.82857142857143
2019-02-25,1.93118279569892
2019-02-26,2
2019-02-27,2.01489361702128
2019-02-28,2.03617021276596
2019-03-01,2.03157894736842
