"datetime","V1"
2018-08-30,NA
2018-08-31,NA
2018-09-01,NA
2018-09-02,NA
2018-09-03,NA
2018-09-04,NA
2018-09-05,NA
2018-09-06,NA
2018-09-07,NA
2018-09-08,NA
2018-09-09,NA
2018-09-10,NA
2018-09-11,NA
2018-09-12,NA
2018-09-13,NA
2018-09-14,NA
2018-09-15,NA
2018-09-16,NA
2018-09-17,NA
2018-09-18,NA
2018-09-19,NA
2018-09-20,NA
2018-09-21,NA
2018-09-22,NA
2018-09-23,NA
2018-09-24,NA
2018-09-25,NA
2018-09-26,NA
2018-09-27,NA
2018-09-28,NA
2018-09-29,NA
2018-09-30,NA
2018-10-01,NA
2018-10-02,NA
2018-10-03,NA
2018-10-04,NA
2018-10-05,NA
2018-10-06,NA
2018-10-07,NA
2018-10-08,NA
2018-10-09,NA
2018-10-10,NA
2018-10-11,NA
2018-10-12,NA
2018-10-13,NA
2018-10-14,NA
2018-10-15,NA
2018-10-16,NA
2018-10-17,NA
2018-10-18,NA
2018-10-19,NA
2018-10-20,NA
2018-10-21,NA
2018-10-22,NA
2018-10-23,NA
2018-10-24,NA
2018-10-25,NA
2018-10-26,NA
2018-10-27,NA
2018-10-28,NA
2018-10-29,NA
2018-10-30,NA
2018-10-31,NA
2018-11-01,NA
2018-11-02,NA
2018-11-03,NA
2018-11-04,NA
2018-11-05,NA
2018-11-06,NA
2018-11-07,NA
2018-11-08,NA
2018-11-09,NA
2018-11-10,NA
2018-11-11,NA
2018-11-12,NA
2018-11-13,NA
2018-11-14,NA
2018-11-15,NA
2018-11-16,NA
2018-11-17,NA
2018-11-18,NA
2018-11-19,21.7355555555556
2018-11-20,21.5990476190476
2018-11-21,21.425652173913
2018-11-22,20.8155
2018-11-23,20.6331818181818
2018-11-24,20.8295238095238
2018-11-25,20.9594736842105
2018-11-26,20.85875
2018-11-27,20.29
2018-11-28,19.2542857142857
2018-11-29,18.6275
2018-11-30,18.3975
2018-12-01,18.45
2018-12-02,19.0131818181818
2018-12-03,20.0793333333333
2018-12-04,19.8119047619048
2018-12-05,18.5963636363636
2018-12-06,18.2761111111111
2018-12-07,17.8854545454545
2018-12-08,17.8611111111111
2018-12-09,18.09625
2018-12-10,17.7195833333333
2018-12-11,17.1089743589744
2018-12-12,17.0025
2018-12-13,16.5402083333333
2018-12-14,16.62725
2018-12-15,16.9657894736842
2018-12-16,17.0764864864865
2018-12-17,16.9606818181818
2018-12-18,16.775
2018-12-19,16.6419047619048
2018-12-20,16.6177083333333
2018-12-21,16.590303030303
2018-12-22,16.3420588235294
2018-12-23,16.0645833333333
2018-12-24,15.9547916666667
2018-12-25,16.0835416666667
2018-12-26,16.1608333333333
2018-12-27,16.315625
2018-12-28,16.9725
2018-12-29,17.42125
2018-12-30,17.674375
2018-12-31,18.1016666666667
2019-01-01,18.7027083333333
2019-01-02,19.198125
2019-01-03,19.6970833333333
2019-01-04,20.2679166666667
2019-01-05,19.4591666666667
2019-01-06,18.2858333333333
2019-01-07,17.9295833333333
2019-01-08,17.9629166666667
2019-01-09,18.0127083333333
2019-01-10,17.4854166666667
2019-01-11,16.9689583333333
2019-01-12,16.7741666666667
2019-01-13,17.1154166666667
2019-01-14,17.193125
2019-01-15,16.8010416666667
2019-01-16,16.42625
2019-01-17,16.110625
2019-01-18,16.141875
2019-01-19,16.4852083333333
2019-01-20,16.7697916666667
2019-01-21,15.9375
2019-01-22,15.6327083333333
2019-01-23,16.0483333333333
2019-01-24,16.8627083333333
2019-01-25,16.5929166666667
2019-01-26,15.954375
2019-01-27,15.5572916666667
2019-01-28,15.0104166666667
2019-01-29,14.9541666666667
2019-01-30,14.704375
2019-01-31,14.2728260869565
2019-02-01,14.255
2019-02-02,14.901875
2019-02-03,15.3122916666667
2019-02-04,15.628125
2019-02-05,16.0047916666667
2019-02-06,16.420625
2019-02-07,16.9366666666667
2019-02-08,17.48375
2019-02-09,17.9239583333333
2019-02-10,17.323125
2019-02-11,17.7211904761905
2019-02-12,18.6170833333333
2019-02-13,19.2566666666667
2019-02-14,17.7510416666667
2019-02-15,17.7891666666667
2019-02-16,18.0229166666667
2019-02-17,18.693125
2019-02-18,19.4440425531915
2019-02-19,20.2297916666667
2019-02-20,19.8702083333333
2019-02-21,20.1439583333333
2019-02-22,20.7189583333333
2019-02-23,21.230625
2019-02-24,22.42875
2019-02-25,21.694375
2019-02-26,20.35
2019-02-27,19.9966666666667
2019-02-28,20.3887878787879
2019-03-01,21.1503571428571
2019-03-02,21.185
2019-03-03,21.1897916666667
2019-03-04,21.3929166666667
2019-03-05,20.4379166666667
2019-03-06,19.1514583333333
2019-03-07,18.6064583333333
2019-03-08,18.8460416666667
2019-03-09,19.2789583333333
2019-03-10,19.9814583333333
2019-03-11,20.4885416666667
2019-03-12,21.4895833333333
2019-03-13,21.6366666666667
2019-03-14,21.4839583333333
2019-03-15,22.0352941176471
2019-03-16,22.4129166666667
2019-03-17,21.39875
2019-03-18,20.37625
2019-03-19,19.9654166666667
2019-03-20,19.4583333333333
2019-03-21,19.5770833333333
2019-03-22,19.6160416666667
2019-03-23,19.7385416666667
2019-03-24,20.07
2019-03-25,20.7827083333333
2019-03-26,21.1954166666667
2019-03-27,21.0820833333333
2019-03-28,20.4847916666667
2019-03-29,20.719375
2019-03-30,20.9738461538462
2019-03-31,21.6120833333333
2019-04-01,21.6747826086957
2019-04-02,20.8947619047619
2019-04-03,20.92875
2019-04-04,21.169375
2019-04-05,21.7995833333333
2019-04-06,22.2454166666667
2019-04-07,22.80625
2019-04-08,23.6945945945946
2019-04-09,24.5922916666667
2019-04-10,24.5079166666667
2019-04-11,24.5889583333333
2019-04-12,24.9279166666667
2019-04-13,25.6429166666667
